KEY,2019-10-17,0.47,0.48,0.01,0.02
LH,2019-10-24,2.84,2.9,0.06,0.02
XLNX,2019-10-23,0.92,0.94,0.02,0.02
ATO,2019-11-06,0.48,0.49,0.01,0.02
CFG,2019-10-18,0.96,0.98,0.02,0.02
GPC,2019-10-17,1.47,1.5,0.03,0.02
IPG,2019-10-22,0.48,0.49,0.01,0.02
TMO,2019-10-23,2.88,2.94,0.06,0.02
ABC,2019-11-07,1.58,1.61,0.03,0.02
IQV,2019-10-30,1.57,1.6,0.03,0.02
MNST,2019-11-07,0.54,0.55,0.01,0.02
ABBV,2019-11-01,2.29,2.33,0.04,0.02
ACN,2019-09-26,1.71,1.74,0.03,0.02
COST,2019-12-12,1.7,1.73,0.03,0.02
D,2019-11-01,1.16,1.18,0.02,0.02
FLIR,2019-10-31,0.58,0.59,0.01,0.02
SNPS,2019-12-04,1.13,1.15,0.02,0.02
FLT,2019-11-06,3.05,3.1,0.05,0.02
CERN,2019-10-24,0.65,0.66,0.01,0.02
FFIV,2019-10-23,2.55,2.59,0.04,0.02
IBM,2019-10-16,2.64,2.68,0.04,0.02
OMC,2019-10-15,1.3,1.32,0.02,0.02
SEE,2019-11-06,0.63,0.64,0.01,0.02
TEL,2019-10-30,1.31,1.33,0.02,0.02
AAP,2019-11-12,2.07,2.1,0.03,0.01
AON,2019-10-25,1.43,1.45,0.02,0.01
CL,2019-11-01,0.7,0.71,0.01,0.01
MKTX,2019-10-23,1.4,1.42,0.02,0.01
WBA,2019-10-28,1.41,1.43,0.02,0.01
ADBE,2019-12-12,2.26,2.29,0.03,0.01
SWKS,2019-11-12,1.5,1.52,0.02,0.01
TAP,2019-10-30,1.46,1.48,0.02,0.01
WEC,2019-11-06,0.73,0.74,0.01,0.01
AJG,2019-10-24,0.79,0.8,0.01,0.01
CBRE,2019-11-06,0.78,0.79,0.01,0.01
CE,2019-10-21,2.5,2.53,0.03,0.01
BKNG,2019-11-07,44.87,45.36,0.49,0.01
C,2019-10-15,1.96,1.98,0.02,0.01
CMA,2019-10-16,1.91,1.93,0.02,0.01
CNC,2019-10-22,0.95,0.96,0.01,0.01
DD,2019-10-31,0.95,0.96,0.01,0.01
MTD,2019-11-07,5.71,5.77,0.06,0.01
PKG,2019-10-23,1.9,1.92,0.02,0.01
SYY,2019-11-04,0.97,0.98,0.01,0.01
T,2019-10-28,0.93,0.94,0.01,0.01
