CHRW,2019-10-29,1.16,1.07,-0.09,-0.08
PNW,2019-11-07,3.03,2.77,-0.26,-0.09
IPGP,2019-10-29,1.19,1.08,-0.11,-0.09
MET,2019-10-30,1.41,1.27,-0.14,-0.1
FDX,2019-12-17,2.79,2.51,-0.28,-0.1
NEM,2019-11-05,0.4,0.36,-0.04,-0.1
KMX,2019-12-20,1.16,1.04,-0.12,-0.1
EXPE,2019-11-06,3.82,3.38,-0.44,-0.12
UHS,2019-10-24,2.26,1.99,-0.27,-0.12
NRG,2019-11-07,2.14,1.88,-0.26,-0.12
KSS,2019-11-19,0.85,0.74,-0.11,-0.13
FANG,2019-11-05,1.71,1.47,-0.24,-0.14
CF,2019-10-30,0.34,0.29,-0.05,-0.15
AVB,2019-10-28,2.35,2,-0.35,-0.15
YUM,2019-10-30,0.94,0.8,-0.14,-0.15
TWTR,2019-10-24,0.2,0.17,-0.03,-0.15
PFG,2019-10-24,1.46,1.23,-0.23,-0.16
TRIP,2019-11-06,0.69,0.58,-0.11,-0.16
HAS,2019-10-22,2.22,1.84,-0.38,-0.17
EQR,2019-10-22,0.88,0.71,-0.17,-0.19
GOOG,2019-10-28,12.57,10.12,-2.45,-0.19
GOOGL,2019-10-28,12.57,10.12,-2.45,-0.19
WFC,2019-10-15,1.15,0.92,-0.23,-0.2
WY,2019-10-25,0.1,0.08,-0.02,-0.2
TIF,2019-12-05,0.85,0.65,-0.2,-0.24
PLD,2020-01-22,0.84,0.61,-0.23,-0.27
BA,2019-10-23,2.04,1.45,-0.59,-0.29
PSA,2019-10-29,2.74,1.93,-0.81,-0.3
EXR,2019-10-29,1.24,0.83,-0.41,-0.33
AMT,2020-10-31,1.96,1.12,-0.84,-0.43
DRE,2019-10-30,0.37,0.37,0,0
TRV,2019-10-22,2.38,1.43,-0.95,-0.4
SPG,2019-10-30,3.05,1.77,-1.28,-0.42
AIG,2019-11-01,0.99,0.56,-0.43,-0.43
IRM,2019-10-31,0.59,0.32,-0.27,-0.46
FRT,2019-10-30,1.59,0.84,-0.75,-0.47
BXP,2019-10-29,1.62,0.7,-0.92,-0.57
ESS,2019-10-23,3.36,1.51,-1.85,-0.55
O,2019-11-04,0.83,0.33,-0.5,-0.6
KIM,2019-10-24,0.36,0.14,-0.22,-0.61
MAC,2019-10-31,0.88,0.33,-0.55,-0.63
REG,2019-10-30,0.96,0.34,-0.62,-0.65
VNO,2019-10-28,0.87,0.28,-0.59,-0.68
MAA,2019-10-30,1.55,0.49,-1.06,-0.68
MOS,2019-11-04,0.27,0.08,-0.19,-0.7
CCI,2019-10-16,1.48,0.58,-0.9,-0.61
OXY,2019-11-04,0.41,0.11,-0.3,-0.73
EQIX,2019-10-30,5.45,1.41,-4.04,-0.74
FTI,2019-10-23,0.49,0.12,-0.37,-0.76
VTR,2019-10-25,0.94,0.23,-0.71,-0.76
WYNN,2019-11-06,0.88,0.17,-0.71,-0.81
UDR,2019-10-29,0.52,0.09,-0.43,-0.83
DLR,2019-10-29,1.64,0.24,-1.4,-0.85
SLG,2019-10-16,1.74,0.4,-1.33,-0.77
SBAC,2019-10-28,2.08,0.19,-1.89,-0.91
AIV,2019-10-31,0.63,0.01,-0.62,-0.98
NOV,2019-10-28,0.1,-0.61,-0.71,-7.1
